ANIO,MESES,VENTAS_DISTRIBUIDOR,VENTAS_BROOKER,TOTAL_AVENA,TOTAL_VENTAS_EN_SOLES
2019,Enero,6851,11312,18163,208329.61
2019,Febrero,7829,7267,15096,173151.12
2019,Marzo,10309,13909,24218,277780.46
2019,Abril,8943,11899,20842,239057.74
2019,Mayo,9147,9895,19042,218411.74
2019,Junio,8826,7021,15847,181765.09
2019,Julio,5332,12063,17395,199520.65
2019,Agosto,12540,8191,20731,237784.57
2019,Setiembre,9977,10139,20116,230730.52
2019,Octubre,11250,11522,22772,261194.84
2019,Noviembre,5179,9473,14652,168058.44
2019,Diciembre,6146,6850,12996,149064.12
2020,Enero,4561,7544,12105,138844.35
2020,Febrero,3363,8062,11425,131044.75
2020,Marzo,7653,10855,18508,212286.76
2020,Abril,4628,6748,11376,130482.72
2020,Mayo,9034,5356,14390,165053.3
2020,Junio,13593,8057,21650,248325.5
2020,Julio,8919,6883,15802,181248.94
2020,Agosto,10233,7885,18118,207813.46
2020,Setiembre,10130,9136,19266,220981.02
2020,Octubre,12259,9724,21983,252145.01
2020,Noviembre,12174,5867,18041,206930.27
2020,Diciembre,6379,6376,12755,146299.85
2021,Enero,10066,6391,16457,188761.79
2021,Febrero,13992,8513,22505,258132.35
2021,Marzo,10601,5202,15803,181260.41
2021,Abril,10372,6671,17043,195483.21
2021,Mayo,13098,5350,18448,211598.56
2021,Junio,11047,7284,18331,210256.57
2021,Julio,15416,7279,22695,260311.65
2021,Agosto,14708,6214,20922,239975.34
2021,Setiembre,11578,4847,16425,188394.75
2021,Octubre,7099,4480,11579,132811.13
2021,Noviembre,11186,4127,15313,175640.11
2021,Diciembre,8560,3486,12046,138167.62
2022,Enero,8878,6357,15235,174745.45
2022,Febrero,10605,4368,14973,171740.31
2022,Marzo,16052,7383,23435,268799.45
2022,Abril,12609,6612,19221,220464.87
2022,Mayo,13904,5653,19557,224318.79
2022,Junio,16220,6508,22728,260690.16
2022,Julio,14123,7235,21358,244976.26
2022,Agosto,11398,7230,18628,213663.16
2022,Setiembre,9090,5392,14482,166108.54
2022,Octubre,8477,5871,14348,164571.56
2022,Noviembre,10727,4409,15136,173609.92
2022,Diciembre,11945,4368,16313,187110.11
2023,Enero,13894,6390,20284,232657.48
2023,Febrero,10902,5476,16378,187855.66
2023,Marzo,15528,4541,20069,230191.43
2023,Abril,14401,6343,20744,237933.68
2023,Mayo,15362,6153,21515,246777.05
2023,Junio,14399,6141,20540,235593.8
2023,Julio,13746,5160,18906,216851.82
2023,Agosto,14181,7050,21231,243519.57
2023,Setiembre,14081,6182,20263,232416.61
2023,Octubre,10514,6454,16968,194622.96
2023,Noviembre,12605,5126,17731,203374.57
2023,Diciembre,14942,8618,23560,270233.2
