ANIO,MESES,AV_GRANEL_10K_CANT,AV_ENVASADA2_4_CANT,AV_VALOR_AGRDO1_8_CANT,TOTAL_AVENA,TOTAL_VENTAS_EN_SOLES
2019,Enero,3040,2672,1139,6851,31889.79
2019,Febrero,3380,2901,1549,7830,37119.17
2019,Marzo,4974,3503,1914,10391,48431.66
2019,Abril,4532,2853,1559,8944,41225.51
2019,Mayo,4807,2963,1377,9147,41479.11
2019,Junio,2753,3473,2601,8827,44915.71
2019,Julio,2365,2143,825,5333,24681.71
2019,Agosto,6420,3415,2705,12540,58943.05
2019,Setiembre,5986,3196,794,9976,42831.02
2019,Octubre,7246,3211,792,11249,47549.72
2019,Noviembre,2882,1492,805,5179,23380.89
2019,Diciembre,4572,1280,294,6146,25030.7
2020,Enero,3550,3595,886,8031,36349.7
2020,Febrero,2915,2029,1604,6548,31670.58
2020,Marzo,5883,3230,1080,10193,44626.7
2020,Abril,2764,6407,1810,10981,53228.34
2020,Mayo,4115,12976,2034,19125,90811.92
2020,Junio,3826,22464,4859,31149,154442.23
2020,Julio,3277,13742,2758,19777,96431.04
2020,Agosto,6441,15263,3200,24904,118433.06
2020,Setiembre,7155,11241,1774,20170,92037.72
2020,Octubre,9150,12023,1198,22371,99049.46
2020,Noviembre,11472,2623,653,14748,59430.61
2020,Diciembre,5149,1909,670,7728,32785.28
2021,Enero,8670,4827,1540,15037,65719.44
2021,Febrero,8337,4873,1493,14703,64373.11
2021,Marzo,8445,7409,2076,17930,80852.78
2021,Abril,8397,6360,1343,16100,70556.25
2021,Mayo,10801,8341,1639,20781,90888.17
2021,Junio,8709,8449,1722,18880,84242.68
2021,Julio,2704,9708,2690,25102,111791.06
2021,Agosto,1181,10173,4001,15355,80593.31
2021,Setiembre,9530,6641,981,17152,73522.57
2021,Octubre,5652,4288,857,10797,47193.61
2021,Noviembre,9393,6653,1091,17137,73847.81
2021,Diciembre,6855,7452,1088,15395,68207.34
2022,Enero,7469,5436,677,13582,58066.07
2022,Febrero,8305,5555,647,14507,61509.45
2022,Marzo,13615,9195,1291,24101,102877.45
2022,Abril,9582,11445,1557,22584,100450.65
2022,Mayo,10895,1124,1902,13921,59025.88
2022,Junio,1213,12408,1716,15337,75151.66
2022,Julio,11061,10099,1748,22908,100916.38
2022,Agosto,7871,10354,1378,19603,87708.48
2022,Setiembre,6830,7072,1671,15573,70431.39
2022,Octubre,9438,8673,1752,19863,88208.76
2022,Noviembre,9447,10298,2246,21991,99394.76
2022,Diciembre,8105,14172,1049,23326,104275.79
2023,Enero,10396,7974,943,19313,82750.63
2023,Febrero,8224,8248,956,17428,76099.16
2023,Marzo,12933,10516,1909,25358,110946.07
2023,Abril,11626,10188,2074,23888,105725.26
2023,Mayo,12306,11275,1945,25526,112462.45
2023,Junio,11758,9842,1854,23454,103029.54
2023,Julio,11211,9089,1928,22228,97973.18
2023,Agosto,11535,9528,2163,23226,102900.81
2023,Setiembre,11047,1093,2506,14646,63700.16
2023,Octubre,9184,9984,2396,21564,97997.08
2023,Noviembre,4237,4335,1942,10514,49829.2
2023,Diciembre,12054,105146,1944,119144,554594.12
